CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-14363-955747,2015-01-23,H-2A,2014-12-29,DETERMINATION ISSUED - CERTIFICATION,2015-02-23,2015-12-23,Wright Brothers Construction Co. LLC,1500 Lauderdale Memorial HWY,,Charleston,TN,37310,UNITED STATES OF AMERICA,,423-472-8747,,CRISPIN'S FARM SERVICE,ANTONIO CRISPIN,BEREA,KY,Farmworkers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,42386,2,2,Y,Seasonal,36,08:00 AM,03:00 PM,10.28,Hour,,,N,,None,,,N,,N,,,Y,3,Georgetown,TN,37336,N,Individual Employer,Job Service H-2A,TN351378,2014-12-29,2015-07-24
H-300-15009-380991,2015-01-27,H-2A,2015-01-09,DETERMINATION ISSUED - CERTIFICATION,2015-03-01,2015-11-07,Clearview Orchards,2041 NY Rt. 80,,Tully,NY,13159,UNITED STATES OF AMERICA,,315-696-6438,,,,,,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,Apples,,1,1,Y,Seasonal,42,07:00 AM,03:00 PM,11.26,Hour,,,N,,None,,,N,,N,,,Y,6,Tully,NY,13159,N,Individual Employer,NYS DOL,NY1114085,2014-12-29,2015-03-01
H-300-15006-065152,2015-02-26,H-2A,2015-02-03,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2015-10-10,Eric Orr,1355 S 10th E,,Mountain Home,ID,83647,UNITED STATES OF AMERICA,N/A,208-587-1036,,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Farm/Irrigation/Livestock Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Farmworker,,3,3,Y,Seasonal,48,05:00 AM,09:30 PM,11.14,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,Mountain Home,ID,83647,Y,Individual Employer,ID Dept. of Commerce & Labor/Alien Labor Unit,1530657,2015-01-27,2015-07-06
H-300-15028-506370,2015-02-26,H-2A,2015-01-28,DETERMINATION ISSUED - CERTIFICATION,2015-03-15,2015-12-15,HIGH PLAINS AGRICULTURE AND TRANSPORT INC.,4412 LARNED CIRCLE,N/A,HAYS,KS,67601,UNITED STATES OF AMERICA,N/A,785-673-6161,,"EMPLOYMENT USA, LLC",KEVIN OPP,ABERDEEN,SD,EQUIPMENT OPERATOR,45-2091,Agricultural Equipment Operators,Ag equip operator,,9,9,Y,Seasonal,40,08:00 AM,05:00 PM,10.35,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,6,PARK,KS,67401,Y,H-2A Labor Contractor or Job Contractor,KANSAS SWA,9427137,2015-01-15,2015-07-31
H-300-15014-744136,2015-02-10,H-2A,2015-01-14,DETERMINATION ISSUED - CERTIFICATION,2015-03-11,2015-12-31,Terry Bernhardt,2875 94th Ave SW,N/A,Taylor,ND,58656,UNITED STATES OF AMERICA,N/A,701-974-3915,,LIBERTY IMMIGRATION,CATHY KNECHT,CLEVELAND,ND,Ag Equipment Operator,45-2091,Agricultural Equipment Operators,SUNFLOWERS,,3,3,Y,Seasonal,40,08:00 AM,05:00 PM,13.59,Hour,,,N,,High School/GED,,,N,,N,,,Y,6,Taylor,ND,58656,N,Individual Employer,Job Service North Dakota,394350,2015-01-14,2015-08-05
H-300-15008-979284,2015-02-12,H-2A,2015-01-08,DETERMINATION ISSUED - CERTIFICATION,2015-03-15,2015-12-15,David Rollheiser,176 North 400 West,,Rupert,ID,83350,UNITED STATES OF AMERICA,,208-438-5688,,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,,2,2,Y,Seasonal,48,08:00 AM,04:00 PM,11.14,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,Rupert,ID,83350,N,Individual Employer,ID Dept of Commerce & Labor,1528226,2015-01-05,2015-07-30
H-300-14365-954397,2015-01-15,H-2A,2014-12-31,DETERMINATION ISSUED - CERTIFICATION,2015-02-15,2015-12-15,"Hale & Hines Nursery, Inc.",416 Hines Ln.,"mailing: 416 Hines Ln., McMinnville, TN  37110",McMinnville,TN,37110,UNITED STATES OF AMERICA,,931-668-4488,,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,,20,20,Y,Seasonal,40,07:00 AM,03:00 PM,10.28,Hour,,,N,,None,,,N,,N,,,Y,3,McMinnville,TN,37110,Y,Individual Employer,TN Career Center,TN350680,2014-12-18,2015-07-16
H-300-15014-632364,2015-02-26,H-2A,2015-01-14,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2015-12-20,Hernke's Inc,6510 Co Rd 9,,Cannon Falls,MN,55009,UNITED STATES OF AMERICA,,507-263-4321,,SOUTHERN IMPACT,LESLI DOWNS,Tulsa,OK,Farmworker,45-2091,Agricultural Equipment Operators,Alfalfa,,2,2,Y,Seasonal,45,08:00 AM,05:00 PM,11.56,Hour,,,N,,None,,,N,,N,,,Y,3,Cannon Falls,MN,55009,N,Individual Employer,MN DEED,8072556,2015-01-12,2015-08-10
H-300-15026-098159,2015-02-23,H-2A,2015-01-26,DETERMINATION ISSUED - CERTIFICATION,2015-03-23,2015-11-15,Polatis Brothers Farms,174 South 1075 West,N/A,Blackfoot,ID,83221,UNITED STATES OF AMERICA,N/A,208-684-3135,,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",General Farm Work,,7,7,Y,Seasonal,48,07:00 AM,04:00 PM,11.14,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,Blackfoot,ID,83221,Y,Individual Employer,ID Dept. of Commerce & Labor,1530142,2015-01-22,2015-07-19
H-300-14365-738515,2015-01-21,H-2A,2014-12-31,DETERMINATION ISSUED - CERTIFICATION,2015-02-20,2015-12-15,Eldon Reed Farms,141 Robertson Ave,,Marianna,AR,72360,UNITED STATES OF AMERICA,,501-940-3185,,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,Cotton,,3,3,Y,Seasonal,48,08:00 AM,06:00 PM,10.18,Hour,,,N,,None,NA,,N,,N,,,Y,3,Marianna,AR,72360,N,Individual Employer,Arkansas Dept of Workforce Service,1077670,2014-12-23,2015-07-19
H-300-15028-440700,2015-02-12,H-2A,2015-01-28,DETERMINATION ISSUED - CERTIFICATION,2015-03-16,2015-12-16,SEASON'S FOUR INC,1265 Massachusetts ave,,lexington,MA,02420,UNITED STATES OF AMERICA,,781-861-1200,,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",nursery crops,,2,2,Y,Seasonal,40,07:00 AM,03:30 PM,11.26,Hour,,,N,,None,,,N,,N,,,Y,1,Lexington,MA,02420,N,Association - Filing as Agent (H-2A Only),MA career services,5213792,2015-01-15,2015-07-30
H-300-15061-440306,2015-03-18,H-2A,2015-03-02,DETERMINATION ISSUED - CERTIFICATION,2015-04-17,2015-12-04,A.SAM FAMILY FARMS LLC,4869 WEST LAKE RD,,DUNKIRK,NY,14048,UNITED STATES OF AMERICA,,716-366-7012,,HELP,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Harvesting Crop,,18,18,Y,Seasonal,42,07:00 AM,03:30 PM,11.26,Hour,,,N,,None,,,N,,N,,,Y,3,dubkirk,NY,14048,Y,Individual Employer,NY DOL,1118390,2015-02-19,2015-08-10
H-300-15054-219313,2015-03-12,H-2A,2015-02-23,DETERMINATION ISSUED - CERTIFICATION,2015-04-09,2015-12-31,Robinson Farms Inc,181 DarbyRd,,Dexter,NM,88230,UNITED STATES OF AMERICA,,575-622-8499,,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Custom Combiner Grain,45-2091,Agricultural Equipment Operators,Grain & Oilseed Crops,,6,6,Y,Seasonal,48,08:00 AM,06:00 PM,10.35,Hour,,,N,,None,na,na,N,,N,,,Y,6,Dexter,NM,88230,Y,H-2A Labor Contractor or Job Contractor,New Mexico Dept of Workforce Solutions,319371,2015-02-05,2015-08-19
H-300-15057-119508,2015-03-13,H-2A,2015-02-26,DETERMINATION ISSUED - CERTIFICATION,2015-04-13,2015-12-04,MARK BOURNE,5964 Keysburg Rd,,Adams,TN,37010,UNITED STATES OF AMERICA,,615-268-7601,,National Agricultural Consultants LLC,Theresa Ward,Carthage,NC,Farmworker: Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and","TOABCCO, STRAW, HAY",,5,5,Y,Seasonal,40,07:00 AM,03:00 PM,10.28,Hour,,,N,,None,,,N,,N,,,Y,3,Adams,TN,37010,Y,Individual Employer,TN Department of Labor,TN358249,2015-02-19,2015-08-08
H-300-15061-805533,2015-03-18,H-2A,2015-03-02,DETERMINATION ISSUED - CERTIFICATION,2015-04-20,2015-11-20,OLIVER FARMS INC,23730 - 24 MILE RD,,MACOMB,MI,48042,UNITED STATES OF AMERICA,,586-949-3000,,HELP,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and","FARMWORKERS, LABORERS, CROP",,6,6,Y,Seasonal,40,07:00 AM,03:30 PM,11.56,Hour,,,N,,None,,,N,,N,,,Y,1,MACOMB,MI,48042,N,Individual Employer,MI Talent,5653740,2015-02-25,2015-08-05
H-300-15063-620391,2015-04-13,H-2A,2015-03-04,DETERMINATION ISSUED - CERTIFICATION,2015-05-15,2016-01-20,Sammy Gray,1197 Bon Ayr Rd,,Park City,KY,42160,UNITED STATES OF AMERICA,,270-678-4008,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and","Burley,Dark Fired&Air cured tobacco,straw/hay",423930,2,2,Y,Seasonal,40,08:00 AM,04:00 PM,10.28,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Park City,KY,42160,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",KY0573273,2015-03-03,2015-09-17
H-300-15053-696646,2015-03-26,H-2A,2015-02-22,DETERMINATION ISSUED - CERTIFICATION,2015-05-01,2016-01-01,Wade Farms Labor Management LLC,380 Shawnee Run Road,,Harrodsburg,KY,40330,UNITED STATES OF AMERICA,,859-748-0306,,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and","straw hay , row crop",423930,4,4,Y,Seasonal,40,08:00 AM,04:00 PM,10.28,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Harrodsburg,KY,40330,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",KY0570742,2015-02-19,2015-08-31
H-300-15041-044625,2015-03-05,H-2A,2015-02-10,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2015-11-18,Tassone Farms,7993 N. Vernon Road,,Cicero,NY,13039,UNITED STATES OF AMERICA,,315-427-4293,,,,,,Farmworker and Laborer-Crops,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Cherry Tomatoes,,15,15,Y,Seasonal,42,07:00 AM,03:00 PM,11.26,Hour,,,N,,None,,,N,,N,,,Y,2,Cicero,NY,13039,N,Individual Employer,NYS DOL,NY1116859,2015-02-02,2015-07-25
H-300-15043-813944,2015-03-19,H-2A,2015-02-12,DETERMINATION ISSUED - CERTIFICATION,2015-03-30,2015-06-15,"H2A COMPLETE II, INC",1926 First Commercial Drive N Suite 109,,Southaven,MS,38671,UNITED STATES OF AMERICA,,662-393-4241,,,,,,Citrus Hand Harvester,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Clean-up,,25,25,Y,Seasonal,35,07:00 AM,02:00 PM,10.19,Hour,,,N,,None,,,N,,N,,,N,,Immokalee,FL,34142,Y,H-2A Labor Contractor or Job Contractor,FL Department of Economic Opportunity,FL9989503,2015-02-10,2015-05-08
H-300-15043-844496,2015-03-05,H-2A,2015-02-12,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2015-12-15,4L Construction Inc.,1409 3rd Street,,Eldora,IA,50627,UNITED STATES OF AMERICA,,641-751-4005,,THE BERNARD FIRM P.L.C.,Aaron Bernard,IOWA FALLS,IA,Farm Worker/Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Construction of Livestock buildings,,16,16,Y,Seasonal,40,07:30 AM,04:30 PM,11.61,Hour,,,N,,None,,,N,,N,,,Y,1,Pairs,IL,61944,Y,H-2A Labor Contractor or Job Contractor,Illinois Department of Employment Security,2432400,2015-01-23,2015-08-09
H-300-15063-087783,2015-04-13,H-2A,2015-03-04,DETERMINATION ISSUED - CERTIFICATION,2015-05-13,2015-12-31,"Sandy Hill Farms, LLC",3098 Sandy Hill Road,,Webster,KY,40176,UNITED STATES OF AMERICA,,270-547-2287,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and","Burley, dark fired, air cured tobacco, straw, hay",423930,2,2,Y,Seasonal,40,08:00 AM,04:00 PM,10.28,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Webster,KY,40176,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",KY0573295,2015-03-03,2015-05-13
H-300-15045-193634,2015-03-02,H-2A,2015-02-14,DETERMINATION ISSUED - CERTIFICATION,2015-04-01,2015-11-08,BLUE HILLS ORCHARD INC,141 BLUE HILLS RD,,WALLINGFORD,CT,06492,UNITED STATES OF AMERICA,,203-269-3189,,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",FRUIT CROPS,,5,5,Y,Seasonal,40,07:00 AM,03:30 PM,11.26,Hour,,,N,,None,,,N,,N,,,Y,2,WALLINGFORD,CT,06492,N,Association - Filing as Agent (H-2A Only),CT SWA,4559239,2015-01-30,2015-07-20
H-300-15051-432942,2015-04-23,H-2A,2015-02-20,DETERMINATION ISSUED - CERTIFICATION,2015-04-19,2015-12-20,"SJS Farms, Inc",7900 Pioneer Trail,,Loretto,MN,55357,UNITED STATES OF AMERICA,,763-258-6696,,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MCGREGOR,IA,Farm Machine Operator,45-2091,Agricultural Equipment Operators,CUSTOM COMBINE,,3,3,Y,Seasonal,40,08:00 AM,05:00 PM,10.35,Hour,,,N,,High School/GED,,,N,,N,,,Y,6,Loretto,MN,55357,Y,H-2A Labor Contractor or Job Contractor,Minnesota Department of Employment and Economic Development,MN8128973,2015-02-19,2015-08-16
H-300-15048-254844,2015-03-27,H-2A,2015-02-17,DETERMINATION ISSUED - CERTIFICATION,2015-04-10,2015-11-13,"Kuzzen's, Inc.",315 E. NEW MARKET ROAD,,IMMOKALEE,FL,34142,UNITED STATES OF AMERICA,,757-442-4961,,Florida Fruit & Vegetable Association,CHRISTINE SYNAN,MAITLAND,FL,Farmworker Tomatoes,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tomato/Grape,423860,60,60,Y,Seasonal,36,07:00 AM,01:30 PM,10.32,Hour,,,N,,None,N/A,N/A,N,,N,,,N,0,Melfa,VA,29920,Y,Association - Filing as Agent (H-2A Only),Virginia Employment Commission,,,
H-300-15042-639458,2015-03-05,H-2A,2015-02-11,DETERMINATION ISSUED - CERTIFICATION,2015-04-05,2016-01-15,"BOREL FARMS, LLC",1175 Emile Road,"Mailing: 1005 Emile Barras Road, St. Martinville, LA 70582",St. Martinville,LA,70582,UNITED STATES OF AMERICA,,337-394-1786,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sugarcane,,6,6,Y,Seasonal,50,07:00 AM,05:00 PM,10.18,Hour,,,N,,None,,,N,,N,,,N,,St. Martinville,LA,70582,N,Individual Employer,Louisiana Workforce Commission,LA520826,2015-01-27,2015-08-25
H-300-15042-338874,2015-03-24,H-2A,2015-02-13,DETERMINATION ISSUED - DENIED,2015-04-01,2015-10-01,"HIRSCH VINEYARDS, LLC",45075 BOHAN DILLON ROAD,,CAZADERO,CA,95421,UNITED STATES OF AMERICA,,707-847-3001,,"MALITZLAW, INC.",JEANNE MALITZ,SAN DIEGO,CA,Agricultural Field Worker (Wine Grapes),45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,,6,0,Y,Seasonal,35,07:00 AM,03:00 PM,11.33,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Cazadero,CA,95421,N,Individual Employer,California EDD,,,
H-300-15057-165012,2015-03-26,H-2A,2015-02-26,DETERMINATION ISSUED - CERTIFICATION,2015-05-01,2016-01-10,Dunning Hill Farms - General Partnership,13342 Hwy 672,,Princeton,KY,42445,UNITED STATES OF AMERICA,,270-365-4405,,Seasonal Hands LLC,Mayra Ballard,Mayfield,KY,Farm Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and","burley, dark, hay/straw, row crops",,2,2,Y,Seasonal,40,800,500,10.28,Hour,,,N,,None,,,N,,N,,,N,,Princeton,KY,42445,Y,Individual Employer,KY Office of Employment and Training - Frankfort KY,KY0571138,2015-02-23,2015-09-05
H-300-15049-683651,2015-03-09,H-2A,2015-02-18,DETERMINATION ISSUED - CERTIFICATION,2015-04-04,2016-01-03,Walter P. Rawl & Sons Inc,824 Fairview Rd,,Pelion,SC,29123,UNITED STATES OF AMERICA,,803-894-1900,,National Agricultural Consultants LLC,Theresa Ward,Carthage,NC,Farmworker; Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Vegetables Verduras,,120,120,Y,Seasonal,40,07:00 AM,03:00 PM,10,Hour,,,N,,None,,,N,,N,,,Y,3,Pelion,SC,29123,Y,Individual Employer,SC Department of Economic Opportunity,606103,,
H-300-15044-243538,2015-03-24,H-2A,2015-02-13,DETERMINATION ISSUED - CERTIFICATION,2015-04-25,2015-12-15,"Woodview Planters, LLC",180 Russellville Rd,,Allensville,KY,42204,UNITED STATES OF AMERICA,,270-265-5606,,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Straw/Hay,423930,5,5,Y,Seasonal,40,08:00 AM,04:00 PM,10.28,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Allensville,KY,42204,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES, KY",KY0569453,2015-02-13,2015-08-20
H-300-15050-878463,2015-03-30,H-2A,2015-02-19,DETERMINATION ISSUED - CERTIFICATION,2015-05-01,2015-12-01,B F & G ASSOCIATION,291 BUTTERWORTH RD,,MURRAY,KY,42071,UNITED STATES OF AMERICA,,270-435-4263,,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Divers. crops,,3,3,Y,Seasonal,40,07:00 AM,04:00 PM,10.28,Hour,,,N,,None,,,N,,N,,,Y,3,Murray,KY,42071,Y,Individual Employer,KY DEPT OF LABOR & WORKFORCE,KY0570050,2015-02-16,2015-08-16
H-300-15050-798721,2015-03-16,H-2A,2015-02-19,DETERMINATION ISSUED - CERTIFICATION,2015-04-15,2016-01-01,"JMAC Farms, LLC",2806 Meadowlark,,Great Bend,KS,67530,UNITED STATES OF AMERICA,,620-786-4913,,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,"operate large farm equipment to till, cultivate",,2,2,Y,Seasonal,48,08:00 AM,06:00 PM,13.59,Hour,,,N,,None,na,na,N,,N,,,Y,3,St John,KS,67530,N,Individual Employer,Kansas Dept of Commerce,9461298,2015-02-16,2015-08-24
H-300-15062-176931,2015-04-01,H-2A,2015-03-03,DETERMINATION ISSUED - CERTIFICATION,2015-05-01,2015-12-20,Northstar Ag.,13890 FM 376,,Farnsworth,TX,79033,UNITED STATES OF AMERICA,,806-202-7472,,COC PLACEMENT SERVICE LLC,GAROLD DUNGY,GOWER,MO,Farmworker Grain,45-2091,Agricultural Equipment Operators,custom harvesting machines,,5,5,Y,Seasonal,48,08:00 AM,04:00 PM,10.35,Hour,,,N,,None,,,N,,N,,,Y,6,Farnsworth,TX,79033,Y,H-2A Labor Contractor or Job Contractor,"Work Force Solutions Panhandle 1206 W 7th Ave.   Amarillo, Texas  79101  (",TX7004466,2015-03-02,2015-08-25
H-300-15061-977057,2015-03-23,H-2A,2015-03-02,DETERMINATION ISSUED - CERTIFICATION,2015-04-29,2016-02-15,JONATHAN KYLE OWEN,342 LOCK 7 LANE,,CARTHAGE,TN,37030,UNITED STATES OF AMERICA,,615-418-6070,,"RAY WILCOXSON, INC","WALTER WILCOXSON, JR",HORSE CAVE,KY,"FARM WORKERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",ALL PRODUCTION OF HANDLING SMALL BALES OF HAY,,8,8,Y,Seasonal,40,07:00 AM,04:00 PM,10.28,Hour,10.28,10.28,N,,None,,,N,,N,,,N,,Carthage,TN,37030,Y,Individual Employer,TENNESSEE STATE WORKFORCE AGENCY,TN358467,2015-02-20,2015-09-22
H-300-15055-333268,2015-03-16,H-2A,2015-02-24,DETERMINATION ISSUED - CERTIFICATION,2015-04-15,2015-11-01,STONEFIELD FARM,91 MARTIN STREET,,ACTON,MA,01720,UNITED STATES OF AMERICA,,978-263-5572,,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,"Farmworker and Laborer, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Vegetable,,3,3,Y,Seasonal,48,07:00 AM,03:30 PM,11.26,Hour,,,N,,None,,,N,,N,,,Y,1,ACTON,MA,01720,N,Association - Filing as Agent (H-2A Only),MA career services,5325205,2015-02-17,2015-07-23
H-300-15055-874564,2015-03-20,H-2A,2015-02-24,DETERMINATION ISSUED - CERTIFICATION,2015-04-15,2015-11-30,CITY OF PEABODY dba DBA BROOKSBY FARM,54 FELTON ST,,PEABODY,MA,01960,UNITED STATES OF AMERICA,,978-531-7456,,New England Apple Council Inc,JOSEPH YOUNG,GOFFSTOWN,NH,farmworker and laborer crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and","APPLES, FRUIT CROP, VEGETABLE CROPS",,4,4,Y,Seasonal,44,07:00 AM,03:30 PM,11.26,Hour,,,N,,None,,,N,,N,,,Y,1,PEABODY,MA,01960,N,Association - Filing as Agent (H-2A Only),MA career services,5313229,2015-02-13,2015-08-06
H-300-15054-930340,2015-03-24,H-2A,2015-02-23,DETERMINATION ISSUED - CERTIFICATION,2015-04-15,2015-10-29,Sheppard Farms Inc,340 Sayres Neck Rd,,Cedarville,NJ,08311,UNITED STATES OF AMERICA,,856-447-3668,,National Agricultural Consultants LLC,Theresa Ward,Carthage,NC,Farmworker; Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and","Asparagus, Lettuce Peppers, Cukes",,80,80,Y,Seasonal,40,07:00 AM,03:00 PM,11.29,Hour,,,N,,None,,,N,,N,,,Y,1,Cedarville,NJ,08311,Y,Individual Employer,New Jersey Department of Employment & Workforce,NJ0981893,2015-02-12,2015-07-22
H-300-15064-996597,2015-03-31,H-2A,2015-03-05,DETERMINATION ISSUED - CERTIFICATION,2015-04-27,2015-12-31,A & T Farms,2268 Bourne Rd,,Adams,TN,37010,UNITED STATES OF AMERICA,,615-696-2381,,National Agricultural Consultants LLC,Theresa Ward,Carthage,NC,Farmworker: Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",tobacco,,11,11,Y,Seasonal,40,07:00 AM,03:00 PM,10.28,Hour,,,N,,None,,,N,,N,,,Y,3,Adams,TN,37010,Y,Individual Employer,TN Department of Labor,TN 359832,2015-03-04,2015-08-29
H-300-15050-740902,2015-03-30,H-2A,2015-02-19,DETERMINATION ISSUED - CERTIFICATION,2015-05-01,2015-12-31,L & H FARMS LLC,1945 Adams Mill Road,,Cadiz,KY,42211,UNITED STATES OF AMERICA,,270-522-9211,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Burley,423930,8,8,Y,Seasonal,40,08:00 AM,04:00 PM,10.28,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Cadiz,KY,42211,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",KY0570529,2015-02-18,2015-08-31
H-300-15035-204469,2015-03-27,H-2A,2015-02-04,DETERMINATION ISSUED - CERTIFICATION,2015-03-21,2015-12-12,Reids Orchard,2135 Buchanan Valley Road,,Orrtanna,PA,17353,UNITED STATES OF AMERICA,Adams County,717-677-7047,,"KT Labor, Inc.",Patricia Sowards,Lexington,KY,Vegetable/Fruit Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and","All duties:frutis,herbs vegetable,vineyards Misc",,8,8,Y,Seasonal,40,07:30 AM,04:30 PM,11.29,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Orrtanna,PA,17353,Y,Individual Employer,Pennsylvania Department Of Employment Security Commission,8031784,2015-01-23,2015-07-29
