CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,TUTTLE LIVESTOCK COMPANY LLC,36597 HWY 40,,ELK SPRINGS,CO,81640,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,7K RANCH INC,1049 HIGHWAY 20,,EMBLEM,WY,82442,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,4,4,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,WARREN RANCH COMPANY,1961 TORRINGTON ROAD,,CHEYENNE,WY,82009,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,5,5,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,PETER JANSS,436 EAST 1150 SOUTH,,BLISS,ID,83314,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,VEAL BLACK ANGUS RANCH,18736 CHANCE ROAD,,MEADOW,SD,57644,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,GRASS VALLEY RANCH LLC,HC 65 BOX 500,,AUSTIN,NV,89310,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,COOPER SHEEP RANCH,11554 6450 ROAD,,MONTROSE,CO,81401,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,CLIFFORD DETAR AND MARTIN RONAYNE,HASTING ROAD AND DELHI ROAD,,DIXON,CA,95620,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,GAMIO LIVESTOCK,705 AMESBURY,,DIXON,CA,95620,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,ETCHART LIVESTOCK INC,13621 5875 ROAD,,MONTROSE,CO,81403,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,4,4,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,NEED MORE SHEEP COMPANY,"HIGHWAY 93, 11 MILES EAST OF HWY 93",,NORTH SPRING,NV,89301,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,7,7,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,JOHN ESPIL SHEEP COMPANY,400 MEADOW ROAD,,LOVELOCK,NV,89419,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,B AND B FARMS LLC,17250 EAST KETTLEMAN,,LODI,CA,95240,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,DUFURRENA SHEEP,397 HWY 140,,WINNEMUCCA,NV,89445,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,3,3,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,JULIAN LAND AND LIVESTOCK,409 QUARTZ STREET,,KEMMERER,WY,83101,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,BORDA LAND AND SHEEP COMPANY,289 RIVER ROAD,,DAYTON,NV,89403,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,5,5,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,LAWRENCE ALLEN,37078 HIGHWAY 92,,HOTCHKISS,CO,81419,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,NORMAN T RICHINS LIVESTOCK,70 NORTH 100 WEST,,HENEFER,UT,84033,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,KEN WIXOM,260 WEST 300 NORTH,,BLACKFOOT,ID,83221,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,4,4,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,HAMMETT LIVESTOCK COMPANY INC,791 LUCILLE LANE,,HAMMETT,ID,83627,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,1,1,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,F.I.M. CORPORATION,25 SARONI ROAD,,SMITH,NV,89430,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,7,7,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,LEONARD FARMS AND LIVESTOCK,9474 SOUTH RIVER ROAD,,OLATHE,CO,81425,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,4,4,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,WADE JENSEN,1520 NORTH SR 155,,CLEVELAND,UT,84518,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,STAR CREEK LAND STEWARDS,1232 CALIFORNIA AVENUE,,LOS BANOS,CA,93635,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,3,3,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939576,2016-01-13,H-2A,2015-11-13,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2016-01-10,2017-01-09,SUB,MCPHERRIN DAMBORIENA SHEEP CO,6160 EAST BUTTE ROAD,,LIVE OAK,CA,95953,UNITED STATES OF AMERICA,,208-595-2226,104,,,,,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Sheep,,2,2,Y,Seasonal,40,12:00 AM,12:00 PM,"$1,206.31",Month,0,0,N,,None,N/A,N/A,N,,N,,,Y,3,BRAWLEY,CA,92227,Y,,N/A,N/A,,
H-300-15315-939820,2015-12-04,H-2A,2015-11-11,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-01-05,2016-06-15,PRI,Gary Noel,17836 N. La. Hwy. 82,,Abbeville,LA,70510,UNITED STATES OF AMERICA,,337-501-0858,,"SHELLY BIEBER, LLC",SHELLY BIEBER,MAMOU,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Fish,,1,1,Y,Seasonal,40,07:00 AM,03:00 PM,$10.18,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Abbeville,LA,70510,N,Individual Employer,Louisiana Workforce Commission,573317,2015-11-10,2016-03-26
H-300-15315-944891,2015-12-03,H-2A,2015-11-11,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-01-04,2016-07-04,PRI,TDT FARMS LLC,404 W 7TH,,HUGOTON,KS,67951,UNITED STATES OF AMERICA,,620-544-3800,,STATE SERVICES CORPORATION,IRAM JAFRI,WINDSOR,,Agriculture Equipment Operator,45-2091,Agricultural Equipment Operators,Cattle,,1,1,Y,Seasonal,48,08:00 AM,04:00 PM,$16.00,Hour,,,N,,None,n/a,n/a,N,,N,,,N,,Hugoton,KS,67951,N,Individual Employer,GARDEN CITY WORKFORCE CENTER,9794879,2015-11-10,2016-03-26
H-300-15315-951396,2015-11-30,H-2A,2015-11-11,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-01-15,2016-07-15,PRI,"Fred Cramer Crawfish, LLC",5077 Ellis Rd.,,Crowley,LA,70526,UNITED STATES OF AMERICA,,337-458-0398,,"SHELLY BIEBER, LLC",SHELLY BIEBER,MAMOU,LA,General Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Crawfish,,12,12,Y,Seasonal,35,08:00 AM,03:00 PM,$10.18,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Gueydan,LA,70542,N,Individual Employer,Louisiana Workforce Commission,573267,2015-11-10,2016-04-15
H-300-15315-992209,2015-12-08,H-2A,2015-11-11,DETERMINATION ISSUED - CERTIFICATION,2016-01-15,2016-11-15,PRI,Caleb Cart Farms,1138 Perchville Road,,Eunice,LA,70535,UNITED STATES OF AMERICA,,337-658-2582,,CAJUN VISA COMPANY INC,Kristie Wheat,LIVINGSTON,LA,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Crawfish,,8,8,Y,Seasonal,35,07:00 AM,01:00 PM,$10.18,Hour,,,N,,None,,,N,,N,,,N,,Opelousas,LA,70570,Y,Individual Employer,Opelousas Career Solutions Center,572478,2015-11-03,2016-06-15
H-300-15316-013429,2015-12-03,H-2A,2015-11-13,DETERMINATION ISSUED - CERTIFICATION,2016-01-01,2016-10-31,PRI,"DEEP FORK TREE FARM, LLC",100 S. Westminster Rd.,"mailing: 100 S. Westminster Rd. Arcadia, OK 73007",Arcadia,OK,73007,UNITED STATES OF AMERICA,,405-233-2000,,"MAS LABOR H-2A, LLC",Elizabeth Whitley,LOVINGSTON,VA,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery and Greenhouse Workers,,24,24,Y,Seasonal,40,07:30 AM,03:00 PM,$10.35,Hour,,,N,,None,,,N,,N,,,Y,3,Arcadia,OK,73007,N,Individual Employer,OK Employment Security Commission,OK1061383,2015-11-06,2016-06-01
H-300-15316-030969,2015-12-17,H-2A,2015-11-12,DETERMINATION ISSUED - DENIED,2015-12-19,2016-05-30,PRI,Scott Bylin,6332  132nd Ave NE,,Pisek,ND,58273,UNITED STATES OF AMERICA,,701-284-6807,,Hart to Hart,LeAnn Hart,Chaseley,ND,Farmworker,45-2091,Agricultural Equipment Operators,Corn,424120,2,0,Y,Seasonal,48,08:00 AM,05:00 PM,$13.59,Hour,,,N,,High School/GED,NONE,NONE,N,,N,,,Y,3,Pisek,ND,58273,N,Individual Employer,North Dakota Job Service,45-2091,2015-11-02,2016-03-09
H-300-15316-070341,2015-12-18,H-2A,2015-11-12,DETERMINATION ISSUED - CERTIFICATION,2016-01-22,2016-11-13,PRI,"Plant Odyssey, Inc.",7101 Niederwald Strasse,,Kyle,TX,78640,UNITED STATES OF AMERICA,,512-398-2714,,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,ROBIN SVEC,BAY CITY,TX,Nursery Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery and Greenhouse Workers,,25,25,Y,Seasonal,40,08:00 AM,05:00 PM,$10.35,Hour,,,N,,None,,,N,,N,,,N,,Kyle,TX,78640,N,Individual Employer,Texas Workforce Commission,TX8407488,2015-11-12,2016-06-18
H-300-15316-329454,2015-11-19,H-2A,2015-11-16,DETERMINATION ISSUED - WITHDRAWN,2016-02-01,2016-11-15,PRI,Kombol Ranch,PO Box 898,295 Kombol Road,Roundup,MT,59072,UNITED STATES OF AMERICA,,406-428-2202,,"Peak Season Labor, Inc.",Diane Thibeault,Lewistown,MT,General Farm Ranch Hand,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Livestock,,1,0,Y,Seasonal,60,07:00 AM,06:00 PM,$11.14,Hour,,,N,,None,,,N,,N,,,Y,3,Roundup,MT,59072,Y,Individual Employer,Billings Job Service,N/A,2015-11-16,2016-06-01
H-300-15316-362372,2015-12-02,H-2A,2015-11-12,DETERMINATION ISSUED - DENIED,2016-01-23,2016-11-16,PRI,"FLORATECH, INC",6656 CR 593,,NEVADA,TX,75173,UNITED STATES OF AMERICA,,972-843-5672,,ACTION VISA ASSISTANCE,LORI WHITTEN,WYLIE,TX,PLANT NURSERY LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery and Greenhouse Workers,,6,0,Y,Seasonal,40,08:00 AM,04:30 PM,$10.35,Hour,,,N,,None,,,N,,N,,,N,,NEVADA,TX,75173,N,Individual Employer,TEXSA WORKFORCE AGENCY,TX3353141,2015-11-12,2016-06-20
H-300-15316-599023,2015-11-27,H-2A,2015-11-13,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-01-05,2016-08-30,PRI,Jeff Wainwright,1665 Fall Line Freeway E,,Reynolds,GA,31076,UNITED STATES OF AMERICA,,478-847-4186,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Orchard Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Squash,,100,100,Y,Seasonal,40,07:00 AM,02:30 PM,$10.00,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,2,Reynolds,GA,31076,Y,Individual Employer,Georgia Department of Labor,GA8352519,2015-11-03,2016-05-03
H-300-15316-615075,2015-12-15,H-2A,2015-11-12,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-01-13,2016-07-30,PRI,Levin Savoy Farm,153 Levin Savoy Lane,,Church Poit,LA,70525,UNITED STATES OF AMERICA,,337-580-1097,,CAJUN VISA COMPANY INC,Kristie Wheat,LIVINGSTON,LA,Crawfish Farmworkers,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Rice,,13,13,Y,Seasonal,35,07:00 AM,01:00 PM,$10.18,Hour,,,N,,None,,,N,,N,,,N,,Church Point,LA,70525,N,Individual Employer,Acadia Career Solutions Center,572788,2015-11-04,2016-04-21
H-300-15316-643224,2015-12-01,H-2A,2015-11-13,DETERMINATION ISSUED - CERTIFICATION,2016-01-01,2016-10-31,PRI,Country Life Farm LLP,319 Old Joppa Road,"mailing: PO Box 107 , Belair MD  21014",Fallston,MD,21047,UNITED STATES OF AMERICA,N/A,410-879-1952,,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Stable Attendant,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Horses,,8,8,Y,Seasonal,40,07:30 AM,03:30 PM,$11.29,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,12,Fallston,MD,21047,Y,Individual Employer,Cecil County Workforce Center,444459,2015-11-03,2016-06-01
H-300-15316-700314,2015-11-27,H-2A,2015-11-13,DETERMINATION ISSUED - CERTIFICATION,2016-01-01,2016-11-01,PRI,G & H Nursery,7707 Community House Road,"mailing: PO Box 121 , Hurley MS  39555",Moss Point,MS,39562,UNITED STATES OF AMERICA,N/A,228-588-3232,,"MAS Labor H-2A, LLC",Elizabeth Whitley,Lovingston,VA,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Nursery and Greenhouse Workers,,5,5,Y,Seasonal,40,08:00 AM,04:00 PM,$10.18,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Moss Point,MS,39562,N,Individual Employer,Mississippi Department of Employment Security (MDES),MS151072,2015-11-06,2015-12-29
H-300-15316-784516,2015-12-08,H-2A,2015-11-12,DETERMINATION ISSUED - CERTIFICATION,2016-01-01,2016-10-31,PRI,"Berries By Bill, Inc",P.O. Box 1066,,Wynne,AR,72396,UNITED STATES OF AMERICA,,870-635-7593,,National Agricultural Consultants LLC,Theresa Ward,Carthage,NC,Farmworker; Diversified,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sorghum,,26,26,Y,Seasonal,40,07:00 AM,03:00 PM,$10.18,Hour,,,N,,None,,,N,,N,,,Y,3,Newport,AR,72396,Y,Individual Employer,AR Department of Employment & Workforce,1404273,2015-11-09,2016-06-01
H-300-15316-821706,2015-11-24,H-2A,2015-11-16,DETERMINATION ISSUED - CERTIFICATION,2016-01-13,2016-11-13,PRI,"YOUNG'S PLANT FARM, INC.",863 Airport Rd,Mailing: PO Box 3410,Auburn,AL,36830,UNITED STATES OF AMERICA,,334-821-3500,,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",General Farmworker,,70,70,Y,Seasonal,40,07:00 AM,03:00 PM,$10.00,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,1,Auburn,AL,36830,Y,Individual Employer,Alabama Department of Labor,AL1767931,2015-11-04,2016-06-14
H-300-15316-932092,2016-01-20,H-2A,2015-11-24,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-01-09,2016-05-30,PRI,Scott Assman,28638  283rd Ave,,Mission,SD,57555,UNITED STATES OF AMERICA,,605-828-0352,,Hart to Hart,LeAnn Hart,Chaseley,ND,Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Cattle,424120,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,$13.59,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Mission,SD,57555,N,Individual Employer,South Dakota Department of Labor and Regulation,1721326,2015-10-27,2016-03-10
H-300-15316-951646,2015-12-01,H-2A,2015-11-12,DETERMINATION ISSUED - CERTIFICATION,2016-01-18,2016-11-15,PRI,J and J Ag Inc,1106 Minnow Farm Road,N/A,Brinkley,AR,72021,UNITED STATES OF AMERICA,N/A,870-734-1304,,USAMEX Ltd Co. (Not a law firm),David Donaldson,Bald Knob,AR,Farm Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Fish,,25,25,Y,Seasonal,40,07:00 AM,03:00 PM,$10.18,Hour,,,N,,None,,,N,,N,,,Y,3,Brinkley,AR,72021,N,Individual Employer,AR Dept of Workforce Services,1408131,2015-11-12,2016-06-17
